"question1","question2","is_duplicate"
"what be surrender value of a Life Insurance policy","the surrender value of a life insurance policy be the amount that you will get from the insurance company if you decide drop the policy before it mature or before death occur it be the amount of savings that build up in your policy minus any surrender charge ( surrender charge occur during the early year of the policy the surrender value can be roll over into a new policy or take as cash","1"
"why be my auto insurance quote so high","probably your term policy not can be cash out there be term life policy that do develop a small amount of cash value ; however these policy often have restriction as to when how the policy can be surrender for cash if you want cash value in your life insurance program then speak to a license life insurance agent about permanent life insurance","0"
"why be dental care not cover Medicare","this be a great question  routine dental care be just not something that original Medicare cover right now  however you can recieve dental care from a medicare approve part c plan also know as Medicare advantage plan as well as you may be able enroll in a stand alone dental plan you be welcome contact our office for help if you be in 1 the state that we be license in","1"
"why be long-term Disability Insurance important","Cuts to Medicare can be share both party Medicare be a boondoggle create LBJ and never design be self supporting for the last few year Medicare have pay out more than it take in which means the future be cloudy Obamacare  a plan design and pass into law without a single republican vote strip over $700 1000000000 from Medicare funding","0"
"do home insurance cover water damage","homeowner insurance certainly may in many circumstance pay for water damage there may be policy limitation for damage cause by long term seepage i some case or other policy limitation or exclusion specific to your insurance company so it be always good talk with your Insurance Professional 1 water peril that be never cover homeowner insurance be flood","1"
"be it necessary purchase insurance when rent a car","historically pregnant woman can not obtain health insurance when individual health insurance be medically underwrite although Obamacare as it be commonly know as have many issue and problem individual can now obtain guarantee issue health insurance without any issue about pregnancy or pre-existing condition during open enrollment which begin again in november 2014 for january 2015 effective date everyone that want apply for health insurance will be approve if you have a qualify life event under the IRS code you will be able purchase health insurance within 60 day of the qualify event","0"
"what be the penalty for driving without car insurance in Kentucky","the penalty be $500 or more plus court cost for a first time offence court cost be often between $150 and $200 dollar in addition to the fine for drive without insurance the state of Kentucky can cancel your car registration if you do not have insurance insurance company provide a list of insured driver the state if the state do not receive notification you have insurance for 60 day they will send a notice provide evidence of coverage if you do not provide evidence of coverage within 30 day your auto registration may be cancel","1"
"how borrow against Life Insurance policy","you shall get life insurance where you trust the agency  have a choice of product  can get good advice and customer service and where you know you will be sell a solid policy that will stand the test of time this can in person or it can be online","0"
"do homeowner insurance cover dog attack on other dog","the homeowner policy have an entire section devote to liability coverage among those cover be pet that be under your control the company may have an endorsement that severely limit the liability for damage cause dog and may even exclude dog of certain breed or temperament if you be threaten with litigation contact your insurance company","1"
"when do you have have Health Insurance by","in my work with funeral home I have see many case where someone think their will will redirect the proceeds of their life insurance just a couple of month ago I be involved with a death where a man die and have be married to his 2nd wife for over 20 year he and his 1st wife be bitter enemy but he never change the beneficiary on his life insurance policy the entire $50000 that the 2nd wife be expect all go to his 1st wife she be nice enough pay the funeral expense for him she do not have to but the remain money all go to her this be a very common error and be another example of why everyone need a good local life insurance agent they review thing with every few year life insurance shall not be buy and then throw in a drawer and forget about if there be a living name beneficiary the life insurance will not be affect the will or the estate settlement","0"
"be Life Insurance exempt from creditor in South Carolina","life insurance that be leave to a person as beneficiary be usually exempt from creditor in South Carolina if the beneficiary have cosign for an unpaid debt at the time the insured die  then the creditor may be able go after the insurance proceeds and if the beneficiary be the insured estate creditor will try collect their due from the insurance proceeds in the estate but a person who receive a life insurance death benefit be not liable for the debt of the insured","1"
"why carry renter insurance","more information will be need make a recommendation on the good retirement plan for a self-employed individual the good plan will depend on several factor include the corporate structure if any  risk tolerance  tax exposure  etc. there be several option include define contribution plan  qualified plan  life insurance  etc. it will be good discuss your unique circumstance with a knowledgeable financial professional","0"
"can you get renter insurance for a dorm room","you can certainly get renter insurance cover belonging in a dorm room but you probably do not need it most college student will be cover their parent homeowner policy when they leave for college so renter insurance will not be necessary I will recommend you have your parent check with their agent and make sure but nearly every homeowner policy will have this coverage","1"
"where buy cheap Life Insurance","interest rate directly effect all annuity but especially fixed annuity basically the high rate  the company can offer more or better benefit on annuity policy an insurance company be require invest enough of your premium into treasury secure any guarantee they make in the contract so the high the treasury rate be the high the guarantee in annuity","0"
"which Health Insurance cover acupuncture","coverage for acupuncture typically vary from 1 company to another with many offer no coverage at all while the Affordable Care Act do require all new health plan cover many tyeps of therapy acupuncture be still not regard as a traditional medical in most western society and as such be typically not cover most health insurance provider that aside there be some company include Aetna and Blue Cross Blue Shield in some state that do offer a limited number of acupuncture visit each year find the good plan for your personal situation it be good speak with a license independent agent that work with most if not all  the insurance company in your area that will give you the chance discuss the exact option available to you and provide the expert guidance need select the good possible plan for your need","1"
"can I buy a Life Insurance policy on my parent","universal life insurance be a type of permanent life insurance program that feature a flexible premium structure.It's in short  a blend between term life insurance and whole life insurance a universal life policy will guarantee the maximum death benefit for the low possible premium make itmuch less expensive than a whole life policy with the same death benefit like with whole life insurance universal life will build cash value although it will generally not accumulate as much cash value over the life of the policy as a comparable whole life policy it be essentially term insurance age 121 with the emphasis on a large death benefit instead of great cash value it be ideal foranyone who want maximize the death benefit and be not worry about build cash value ( the carrier take back the cash value and pay out the death benefit when the insured die and a claim be make on the policy you can guarantee benefit for up to age 121 ( with most company these policy can be structured dial down the death benefit to a specific age as well ( e.g. to age 90  95  100  105  etc. I hope the information be helpful - please feel free contact me for assistance and if you have any other question thanks very much","0"
"what be an average renter insurance rate","an average renter in California will be able insure $20000 of personal property and have $300000 liability protection for an average premium of less than $15 per month contact an agent and get a quote your situation be unique I doubt you consider yourself be average","1"
"what do Non forfeiture mean in long term care insurance","when cobra continuation coverage run out individual be able purchase individual health insurance without wait for the annual open enrollment period an individual can purchase health insurance use a certify and license agent or go directly to the state or federal marketplace depending on your income level you may also qualify for a subsidy help you pay for your health insurance health insurance be guarantee issue since january 1 2014 so there be no longer worry about not be able obtain health insurance coverage","0"
"do Health Insurance cover artificial insemination","there 12 state have insurance mandate that either require health insurance company cover infertility treatment or require the insurer offer at least one plan that cover infertility most of these mandate apply group policy rather than those issue individual since the mandate apply group plan the first avenue look at be the employer plan for both spouse group plan must comply with the insurance law in the state where the policy be issue - most frequently that be the headquarters state of the employer the state with mandate just happen be those with the large number of large national employer ( California  Connecticut  Illinois  Massachusetts  New Jersey  New York if 1 or both employer be headquarter in 1 those state your odds be good","1"
"do Medicare cover Qsymia","car insurance be different for everyone and I will recommend you contact a local agent or 2 and have them do quote for you there be so many factor that determine how much you can pay such as accident  ticket where you live  credit  age and much more so give you a price answer on this board be not something any of us can do although each company have different pricing independent agent can help shop for you with many company and find the right fit for you good luck and I hope you find the right fit","0"
"how can I lower my insurance on my car","1 the easy way be take a defensive driving course that can lower your insurance if you move to a good neighborhood that can help lower your payment do you have a low deductible if you raise your deductible you can have some savings right there you may get some savings by add a car alarm these be just a few suggestion","1"
"how get Disability Insurance for pregnancy","automobile insurance cover the car if you have an automobile policy and be operate someone elses automobile  you may have some coverage  shall the policy cover that auto be inadequate it be difficult think of a circumstance under which your comprehensive coverage will come into play because comprehensive usually indicate the vehicle be not moving so you can not be operate it there may be some unusual circumstance but you shall check with an agent  adjuster or claim representative","0"
"why do my apartment require renter insurance","more more apartment complex be require renter insurance renter insurance provide liability coverage so if you be negligent and cause damage to their building they want an insurance policy pay out most people rent an apartment do not have enough money pay for the building so renter insurance be a great way cover this need and also cover your personal belonging","1"
"what be Suze Orman advice on long term care insurance","Life Insurance application often ask about net worth they do so because they want ensure a person be over insure themselves needlessly maliciously but for most people on most policy net worth do not matter too much most of the time people have enough income justify the amount of Life Insurance they ask for","0"
"what be an affidavit of spousal Health Insurance","an affidavit of spousal health insurance be a legal document that may be require an employer or governmental health plan such as a state child Health Insurance Plan or CHIP that document if the employee or applicant spouse be employ and if they be eligible for or cover their employer group health insurance plan this form will use to determine if the spouse eligible enrollment determine that their employer plan will pay in a primary capacity pay the claim first the other employer plan the government base health plan will pay in a secondary capacity pay on any unpaid balance after the primary insurance carrier have pay on a claim expect see these type of form in your workplace or if you or a family member be access public health insurance program increasing number of employer  both private sector and public sector be make effort move dependent spouse who have access to health insurance elsewhere off of their plan and onto the spouse employer plan increasingly an additional premium penalty be be apply to employee who insist on cover a spouse who have coverage available through another employer or source and in the more extreme circumstance some employer be decline cover spouse at all these action be a result of the increasing cost of health care that employer and governmental agency be experience and to a quirk in the Affordable Care Act ( ObamaCare that do not define a spouse as a dependent unfortunately this be what happen when politician pass a law without read it as be the case with the 2010 passage of the Affordable Care Act","1"
"do Medicare have a copay","great question Allstate cover your apartment or house or condo if your rent it personal property be the main coverage like your cloth  TV  shoe and other item you may have in your apartment or house they will also add liability in case you get sue there be other thing consider please check with your local agent for more detail","0"
"be home insurance negotiable","I not sure exactly what you mean but if you mean go without then no a mortgage company will not allow that and if you own outright it will be a foolish choice go without if you mean price negotiation then that really be not practical as the rate use be file with the individual state insurance department usually month before they be use or even year if a company be comfortable with the rate it have file all that say you may want seek out an independent agent who have multiple company you will not be able negotiate price but you will have a chance compare what you get in the way of coverage from several companies.For GA homeowner  auto renter or Life Insurance contact the Insurance Browser Inc 1-866-933-4372","1"
"what look for in a home insurance policy","not very hard at all  actually the process may vary depend upon the requirement of the policy for which you have apply and the insurer but for the most part  medical history questons will be ask and if necessary you will be ask provide blood and/or urine specimenes or perhaps just an oral swab it be also possible blood pressure may be measured these exam may be perform either by a physician usually designate the insure company or a paramedic professional in the comfort of your own home","0"
"how estimate renter insurance coverage","a quick way estimate the cost of renter insurance be check with neighbor in similar unit although their coverage may be different they will give you an idea of what expect for an accurate quote contact a trusted insurance agent if you have not an agent  your neighbor  colleague and friend can provide recommendation it shall take only a few minute prepare a quote for a renter policy","1"
"how much Life Insurance shall I have for my child","a paid up life insurance policy be 1 for which no more premium must be pay if death be occur the death benefit will be pay the beneficiary name in the policy even though premium have not be pay since be notify of the policy be a paid up policy","0"
"be it safe buy term Life Insurance online","if you know the website be safe and you trust the life insurance company or agency then yes it shall be safe however do you know if you be get the right coverage at the good price for your unique situation if you have doubt I highly recommend use an experienced independent life insurance broker shop the market for you almost all of us do that for free everyday","1"
"what be a blanket homeowner insurance policy","if you have be recently diagnose with breast cancer you can get up to $25000 guarantee issue coverage with one or more carrier if you be over age 50 you can get up to about $100000 that way although it will be costly once you be 1 to 2 year since your past treatment you can get more with simplified issue insurance and once you be in remission over a year you may be able get a much large amount of medically underwrite life insurance depending on the stage of your breast cancer  treatment  etc.","0"
"will my friend insurance cover a tree fall on my uninsured boat","actually that depend upon a couple of factor your friend apparently have homeowner insurance which will include liability coverage so 1 factor seem be meet the question then become about the condition of your friend tree if the tree be healthy and be just take down or damage in a passing storm then your friend policy will not cover the damage to your boat if on the other hand the tree be dead or diseased and your friend know it and have do nothing remove or have the affected branch prune away your friend will be see as negligent if that be the case then the liability portion of his homeowner policy will provide coverage","1"
"why will my home insurance double in price","you not can borrow from annuity you may be able withdraw some money without penalty according to the policy withdrawal provision but keep in mind you may have a 10% tax penalty for access withdrawal before 59 1 way accomplish your goal be use your annuity as collateral at your local bank and borrow from it","0"
"will Medicare pay for a tetanus shot","Medicare will pay for a tetanus shot only if the tetanus shot be need as the result of step on a rusty nail or something of the sort that be because this type of immunization be only cover Medicare if you have be exposed to a dangerous disease","1"
"what be a nonqualified retirement plan","if you be look for cash value  money you can borrow against tax free even keep tax free  you want whole life insurance and not term life insurance term be not design accumulate cash value that be why it start out at a low price than whole life whole life be design accumulate value and thus allow you borrow against it and even keep that money tax free it start out cost more but gradually with the cash growth it can cost less and go on forever great question thank you Gary Lane","0"
"what qualify as a domestic partner for Health Insurance in Texas","Article I  section 32 add to the Texas Constitution in 2005 state marriage in this state shall consist only of the union of 1 man and 1 woman this state or a political subdivision of this state may not create or recognize any legal status identical similar to marriage however many company and government agency in the state do allow benefit be extend to same sex partner of employee more precisely address your particular situation I will recommend consult the current policy of the company you be interested in receive benefit from","1"
"how get Disability Insurance","I be not sure if you be refer to Part B  Medicare Supplements  Medicare Advantage Plans or Part D drug coverage in any scenario it be a little early tell as the plan for 2014 have not be release yet but this be exactly why we have open enrollment see thecost & coveragefor the upcoming year and make coverage change if desire so your definitive answer will come start october 15th","0"
"which state have good Medicare coverage","Medicare be a federal government run program so the type of coverage available under Medicare part A & b also know as original Medicare will be the same regardless of the state you live in the calculation of premium be the same everywhere as well - your income level can increase your Part B monthly premium though Medicare supplement be also standardise mean the plan benefit be the same regardless of which company you purchase it from the premium for these program can vary from company to company - where you live also have a significant impact on rate calculation","1"
"what happen when term Life Insurance be up","that vary considerably however the cost of not have a homeowner policy be easy if you do not have a homeowner policy your mortgage company can buy 1 you if you do not have a policy and someone sue you because they hurt themselves on your property you get pay all the legal cost and perhaps the full amount of a judgment if you house burn down and you do not have a policy you will only have memory perhaps on-going mortgage the price of a homeowner policy have many variable and you shall discuss it with an agent that you trust","0"
"who shall register for Medicare","everyone shall sign up for Medicare Part A & Part B when you be first eligible ( generally this be when you be turning 65 years old so you do not get hit with any late enrollment penalty ( there be way avoid the late enrollment penalty such as sign up when you be come off group health insurance when you enroll in part b you begin your initial open enrollment period ( a 6 month timeframe apply for a Medicare supplement policy with no medical underwriting you can apply for Medicare benefit on the social security administration website  ssa.gov if you need quote for Medicare supplement send me a private message and we can go over the input so we can find the program that be right for you","1"
"how good be global Life Insurance","its really no different then insurance your first home other then the coverage be slightly different how the risk be rate best contact your exist agent see if they have the ability quote the second home as often time the liability from your primary will extend to your secondary home","0"
"how apply for Medigap insurance","there be several way apply for Medigap coverage you can go through Medicare or apply direct to a carrier that will get you a policy but you be on your own if you have question before you buy or after the policy in place most people will use an agent that specialize in Medigap plan with technology there be no need invite a stranger into your home most of the information can be share phone  email and USPS almost 100% our client be people who prefer shop  compare and buy in the comfort of their home and on their time frame  not mine","1"
"can you have car insurance without own a car","Enough be a relative term consider Medicare pay about 80% hospital and outpatient claim rely on Medicare alone may be a pricey gamble you may not need a comprehensive Medigap plan f that cover all approve Medicare part A and part b claim but most people will want some assistance for many Medicare supplement plan g or n be a good alternative for those on a tight budget or if you have ample savings Medigap hi f be a consideration","0"
"how long do it take a Life Insurance claim be pay","when an insured die the beneficiary make the claim on the policy will need send in a complete claim form and a copy of the death certificate ( some carrier may have an additional form - vary by carrier once these item be receive the carrier they will pay out the claim the beneficiary typically the process can be complete within 2-3 week I hope the information be helpful - please feel free contact me for help and if you have any other question thanks very much","1"
"how much do individual Disability Insurance cost","Medicare Part D premium vary by zip code and drug formulary a plan that be available in your friend area may not be available where you live be careful when you shop and compare part d plan do not go strictly on a friend recommendation or because the plan be promote someone such as AARP or be from a know carrier like Blue Cross use the Medicare drag formulary finder pick the good plan for your need and budget","0"
"where shall I buy home insurance in Pennsylvania","you may ask any independent insurance agent in your area offer you a quote on your home insurance they will be able help you shop around for the most competitive company and still be in your neck of the woods if you ever have question or need a face to face review","1"
"can you get Health Insurance with bad credit","term life insurance policy have what be know as a contestableity period of 2 year this 2 year period allow an insurance company investigate a cause of death if the cause of death be a suicide they will not pay if they find an omission of health or lifestyle condition on the application and it contribute to the cause of death they can decline the death claim after 2 year if all the information be true and complete and the cause of death be not specifically exclude such as act of war then every cause of death shall be pay","0"
"why will I need Life Insurance for my kid","I be a license funeral director as well as a life insurance agent I have see several family go through this most family only think of funeral and cemetery expense but the big expense for you be the time you need away from work recover from the loss of your child everyone handle grief differently but you do not want go broke right when you be grieve the loss of a child just because you can not work to your full capacity for a while also keep in mind even if you plan just use direct cremation with no funeral or cemetery expense people rarely follow through with that when they lose a child leave yourself option in case you want something more cremation be a great option when it be what you choose it be not as good if it have force on you due to finance and if for no other reason it only cost penny insure healthy child","1"
"what do a Life Insurance wholesaler do","life insurance be generally exempt from state and federal income tax if the life insurance plus other asset add up to over the amount exempt from estate tax that portion will be subject to federal estate tax state inheritance tax may also apply if the benefit be pay in installment the death benefit be not tax but insurance earn on the death benefit will","0"
"how much be Medicare b","the Medicare part b premium for 2013 for most people be $105 if you fail sign up for part b when you be first eligible you may be require pay a late enrollment penalty of up to 10% per year for every year you be eligible but fail sign up high income individual may pay a penalty in determine your penalty premium Medicare consider your income from prior tax return ( from 2 year ago the penalty plus base premium be graduate based on income and can be as much as $335 in 2013","1"
"how much do Health Insurance for a family of 3 cost","let us say you have a renter policy in 1 state and you move to another state where your insurer do not even do business this happen all the time I will advise you do 2 thing wait until the physical move be over with and 2) wait till you have in your hand the replacement policy then it be safe mail the original policy back to your agent or company and ask for the policy be cancel privacy concern will require you either send the original policy back or the company may require more specific information form you effect cancellation be sure the person say cancel a policy be in fact you many state authorize the manner in which cancellation take place  so talk to your insurance professional at the Insurance Browser Inc. we be license in several state so if you move from GA to Texas we can handle the whole transaction old new","0"
"Will Renters Insurance Cover Stolen Cash","many renter police will cover steal cash but there be a limit on the amount of coverage usually the amount be around $200.00 in most case this will fall under your deductible if you have a claim where other item be steal including the cash you lose you may have a claim worth file I will contact your agent discuss the detail of your loss and policy limit","1"
"how get a low auto insurance quote","multiplan health insurance be not health insurance multiplan be a national PPO network that be use some health insurance carrier either as a primary network secondary there be medical discount plan promote the benefit of the multiplan network but discount plan shall never be consider a substitute for true major medical coverage","0"
"will Health Insurance pay for old bill","will health insurance pay for old bill it be go depend on how old normally a insurance company allow anywhere from 6-12 month a bill be submit and they will pay beyond that they be no longer obligate make a payment if your medical provider have a problem with outgoing billing that they can not bill within a reasonable amount of time after your visit it may be time switch provider","1"
"what do a Health Insurance premium mean","if an insured die thena permanent life insurance policy will pay the name beneficiary the face amount of the policy minus any outstanding loan balance that there may be in the case wherea term life policy be in force  then there will not be any outstanding loan balance since there be no cash value in a term policy in that case the face amount will be pay the beneficiary","0"
"why be 401K tax","a 401 (K) define contribution plan be a tax defer program institute your employer contribution by you to the plan be normally tax defer mean there be not any current income tax on that portion of your income the same be true if your employer make a contribution when the fund be withdraw they be taxable as ordinary income under most circumstance a distribution before you reach age 50.5 can incur an additional 10% penalty tax","1"
"can I stay on my parent Health Insurance until 26","that be a great question universal life policy do accumulate a cash value so yes you can borrow from it ; if fund correctly assuming that investment work out with the promise return it shall be okay borrow from however this kind of policy be a strange kind of animal it be only guarantee last a certain period of time and then the cash value become the premium that you will have have pay keep it go if you borrow from the value and be not very careful you can tank or shorten the life of the policy please consult with your agent before you borrow okay if you will like more detail please contact me and I will fill you in thanks for ask","0"
"what be the average cost of Health Insurance for an individual","insurance cost be based on several factor  medical insurance be no exception the PPACA or Obamacare as it be know have change some of the medical requirements.But gender  age  smoke status and the state you live in will determine the premium you will pay  if any based on means test threshold set the HHS","1"
"what do my homeowner insurance cover","auto insurance in Ohio be actually fairly inexpensive if you know where look as an experienced broker here in Ohio ( just North of Cincinnati we specialize in find the low available rate offer the top rate carrier price be base on many factor include your age where you live  the type of vehicle you drive and how good or bad your driving record be typically rate here in the buckeye state be low than most other state a young driver under 21 will usually pay a high rate there  however many discount that can help reduce the premium each carrier have a different set of discount so shopping can make a big difference also by have an experienced broker shop for you you may be able find good pricing whether its State Farm  Esurance  progressive  Geico or farmer or many other as experienced broker with top rate website our job be help consumer find not only the good price but the most appropriate coverage their specific circumstance","0"
"be it ever too late plan for retirement","yes procrastination can have a significant impact on your retirement lifestyle and taint your golden year but that being said something be good than nothing so save now be important you may want consider work until age 70 maximize Social Security benefit and give yourself more time save","1"
"how can I check if my car insurance be valid","tubal ligation be not cover Medicare if the procedure be perform simply sterilization and the desire have no more child if the tubal ligation be do cure another health condition alleviate the symptom of another general health condition then it can be cover Medicare part A or b","0"
"what shall Disability Insurance cost","be fair disability insurance can be very pricey depending on the type of policy you have the young you the less you make the cheap it will be insure your paycheck the premium be dependent on the type of coverage you desire ( typically 60-65%  the benefit period 2yrs  5 yr age 67  etc. the waiting period ( 90180  etc.  your age the disable definition  your occupation  etc. also if you smoke or have any pre-existing condition all play a factor unless you be receive Di from work where the premium be a set amount it be completely different person to person the more extensive the coverage  the more expensive the premium","1"
"can annuity be roll over","that be a great question technically speak no it not a liquid asset by definition be 1 that be easily move like cash  checking or savings account something like an unrevokable trust  annuity or life insurance policy be not because you can not readily get your cash in the case of life insurance the big payout do not come until after you have pass when you can not use it there be a portion of it assume you have a whole life policy but that be consider a loan and not free cash hope that help","0"
"what do Medicare cover on nurse home","if the hospital stay that precede your admittance into the nursing home be at least a 3 day stay be for the condition that require skilled care and a few other stipulation  you will be admit to a Medicare bed in the nursing home for 20 day all nursing home expense be pay Medicare after 20 day there be a copay until the maximum length of 100 day at which time Medicare no longer contribute to nurse home expense","1"
"do renter insurance cover earthquake damage","there be no one company that have the good product all the time life insurance can be custom design meet your specific need and for this reason no one company or product can be declare best figure out which company and product be good suited for you you shall seek out the service of an agent license do business in California who can show you several company and product so you can compare and decide which 1 be good for you","0"
"which be the good annuity","the good annuity be the ones you own if you be choose which annuity buy you will find there be a wide range of option available there be 2 basic type of annuity immediate defer if you have fund that you be prepared invest now in exchange for an income flow that start immediately  then you want an immediate annuity  otherwise you want a defer annuity the range of annuity range from guarantee speculative some require specific license the investment shall be pair with your risk tolerance the good annuity be 1 that do not cause you stress and meet your financial objective","1"
"how much more be Life Insurance for smoker","small business group health insurance cost will vary according to a number of factor the premium rate be set according to the age and gender of the group  zip code (s)  plan design  network selection and business sic code employer be require contribute a minimum amount  usually 50% the employee cost and the plan must meet minimum participation standard ( usually 70% the eligible employee","0"
"will I get a refund if I cancel my car insurance","if you cancel your car insurance you may be entitle to a refund but you shall discuss it with your Insurance Professional the amount of refund will be dependent upon the amount you have pay and the length of time the policy have be in force if for example you have a 6 month contract and have pay it in full  then if you cancel after 3 month you will receive about half your money in return cancel after 5 month and you will receive about a month worth if on the other hand you pay half and then choose not pay your next quarterly installment your policy grace period will kick in and you will continue have coverage for a specify period of time if you then cancel the policy while in that grace period instead of a refund you will owe for the extra coverage provide","1"
"be Life Insurance worth have","your state insurance department will be the regulator in regard to any insurance product other tan Medicare advantage while policy be pretty standardized it be your state that will provide regulation and enforcement of insurance company who offer home insurance if you have an issue with a company regarding claim contact your state department of insurance file a complaint","0"
"Does Owning A Trampoline Affect Home Insurance","many company refuse issue a homeowner policy when there be a trampoline on the property the trampoline be clearly identify as a hazard regardless of mechanism make them safe there be still a high incidence of claim involve a trampoline company that will insure a home with a trampoline will normally be considerably more expensive","1"
"what Health Insurance can I get while pregnant","the cost of life insurance vary widely so much so that there be no way of give an estimate of price it can range from $20 per month to over 1000000 dollar per month the price depend on age of the insured person the young you be the low the price usually be the length of time the premium be guarantee stay level ( e.g. 10 year usually cost less than 30 year term  health of the insured person  tobacco use and other factor get an estimate of what life insurance may cost you you can visit a website that offer free online quote contact the website directly visit with an agent who will ask specific question make your quote more accurate","0"
"can Health Insurance company tell if you smoke","maybe let us say they can not and they just take your word for it you be a non smoker be it worth the risk when the health or life insurance company find out you be a smoker and refuse pay for anything because you lie just be honest","1"
"how be car insurance calculate","yes the company that rent out their dwelling have landlord policy those policy usually only cover damage to the structure from outside source and not from the tenant if you be responsible for a stray candle or a stove fire which burn the house  condominium or apartment complex down you will be sue cover those damage renter insurance provide liability coverage just that situation that liability coverage also protect you if someone get hurt over at your place  if someone sue you because they think you say something wrong or even if your animal attack them renter insurance be also the insurance that you will need shall your personal property get steal or damage in a loss like fire so yes it be legal require renter insurance in Arizona the good news be it be not only a really good option have but it be also extremely affordable if you want we can even draft up a quote for you please reach out to us at www.insuranceeddie.com thank you","0"
"do cobra cover Disability Insurance","the US dept of labor An Employee's Guide to Health Benefits under COBRA The Consolidated Omnibus Budget Reconciliation Act of 1985 state the following : life insurance be not consider medical care nor disability benefit and cobra do not cover plan that provide only life insurance or disability benefit unfortunately Disability Insurance be not cover cobra","1"
"who shall I talk to about Life Insurance","a life insurance policy that have be viaticized have a couple of thing happen the insured no longer have any ownership in the policy nor be they the premium payer those right along with any other incidental right of ownership ( including the ability assign the policy or change the beneficiary be gone once the policy be viaticized when the insured die the proceeds go to the beneficiary those proceeds may or may not be taxable","0"
"do auto insurance build your credit","unfortunately it will more than likely not affect your credit at all the good you can hope for be a company will look favorably upon a coverage history when decide whether or not provide you with credit typically your credit score be base on payment history of credit card  loan and a few other factor normally not insurance payment thing can change if in doubt check with your local agent each state be different and legislation be a moving target","1"
"what do Life Insurance test for","if you have a policy that include comprehensive physical damage loss coverage then yes theft be a cover peril remember the loss settlement will be subject to your deductible so that will be a consideration when file a claim you will in most case be ask provide a copy of a police report in order to substantiate the claim","0"
"what be joint Life Insurance policy","joint life policy be Life Insurance policy that be write on 2 life rather than single this mean if 1 the joint policyholder die during the term then the benefit will be pay the use survive holder this be only a 1 time payment and the policy be insure 2 life on the contrary in a single policy the policy be write on 1 person or 2 people therefore become separate policy and the benefit be pay for each policy owner","1"
"what be the good Medicare supplement insurance plan in Florida","have life insurance on the job better than have nothing you shall have a personal policy as well why your job if you ever leave fire  lay off  quit  retire no more group life insurance I say always elect join a group work policy because it be so cheap I tell all my client this at work your job own your policy again ; therefore you shall have your own policy as well young healthy the good time get life insurance you be rate based on your health and age and some other factor life insurance be not something you can get when ever you feel like it it be like apply for a credit card either your approve as apply for approve at a high rate or your insurance be decline if your health be not so great then a group policy of course will be great for you","0"
"what do Medicare part a pay for","Medicare part A be your hospital insurance in general part A go cover 1) hospital care 2) skilled nursing facility care 3) hospice care 4) home health service 5) nurse home care please note  nursing home care and skilled nursing care benefit be generally limited and certain condition need be meet provide coverage if you want have protection in the event you need long-term care then you shall secure a long-term care insurance policy ( especially while you be healthy so you can medically qualify for the coverage it be not guarantee issue you can visit the Medicare.gov website for specific information regarding exact coverage figure or send me a private message if you have any question","1"
"how will Health Insurance change in 2,014","cash value of life insurance be an integral part of whole life and some universal life insurance policy as fund accrue within policy in place for a long period of time  they may be use help pay premium or may be borrow out for emergency note most policy of this type be structured pay only the death benefit minus any borrowing in some case use of this money may cause a policy lapse so before borrow make sure you understand the downside speak to your agent and ask for an illustration show how the policy will perform if you borrow","0"
"what be cheap renter insurance","there be more to buy insurance than the premium the cheap company be the 1 that pay your claim in full when you need them often this be a matter of select appropriate limit because you can experience a loss in excess of your policy limit a trusted reliable agent be the second ingredient in find the cheap insurance if you ever have a claim without insurance or 1 that exceed the limit of your policy you will understand what expensive insurance look like","1"
"what be Life Insurance ownership","Medigap insurance be another name for med supplemental insurance 1 in the same you can apply 3 month prior to your 65 th birthday you must have your card from part A and b of Medicare use on the application you can apply all the way to 3 month after your 65 th birthday so the total window be 6 month of course its not effective till the day of your birthday","0"
